Code,Name,Total fertility rate
10050,Albury,1.85
10180,Armidale Regional,1.65
10250,Ballina,1.83
10300,Balranald,2.39
10470,Bathurst Regional,1.88
10500,Bayside (NSW),1.49
10550,Bega Valley,1.91
10600,Bellingen,2.13
10650,Berrigan,2.11
10750,Blacktown,1.97
10800,Bland,2.57
10850,Blayney,2.25
10900,Blue Mountains,1.78
10950,Bogan,2.84
11150,Bourke,2.71
11200,Brewarrina,1.99
11250,Broken Hill,1.99
11300,Burwood,1.01
11350,Byron,1.49
11400,Cabonne,2.23
11450,Camden,2.27
11500,Campbelltown (NSW),2.02
11520,Canada Bay,1.44
11570,Canterbury-Bankstown,1.94
11600,Carrathool,2.50
11650,Central Coast (NSW),1.93
11700,Central Darling,2.06
11720,Cessnock,2.03
11730,Clarence Valley,2.07
11750,Cobar,2.30
11800,Coffs Harbour,1.84
12000,Coolamon,2.08
12150,Coonamble,2.48
12160,Cootamundra-Gundagai Regional,2.30
12350,Cowra,2.03
12380,Cumberland,1.95
12390,Dubbo Regional,2.17
12700,Dungog,2.13
12730,Edward River,2.22
12750,Eurobodalla,2.06
12850,Fairfield,1.62
12870,Federation,2.12
12900,Forbes,2.32
12930,Georges River,1.42
12950,Gilgandra,3.01
13010,Glen Innes Severn,2.05
13310,Goulburn Mulwaree,1.99
13340,Greater Hume Shire,2.12
13450,Griffith,2.11
13550,Gunnedah,2.67
13660,Gwydir,2.37
13800,Hawkesbury,2.04
13850,Hay,2.32
13910,Hilltops,2.14
14000,Hornsby,1.49
14100,Hunters Hill,1.64
14170,Inner West,1.29
14220,Inverell,2.26
14300,Junee,2.29
14350,Kempsey,2.49
14400,Kiama,1.86
14500,Ku-ring-gai,1.32
14550,Kyogle,2.29
14600,Lachlan,2.71
14650,Lake Macquarie,1.89
14700,Lane Cove,1.56
14750,Leeton,2.26
14850,Lismore,1.82
14870,Lithgow,1.92
14900,Liverpool,1.99
14920,Liverpool Plains,2.22
14950,Lockhart,2.65
15050,Maitland,1.92
15240,Mid-Coast,2.04
15270,Mid-Western Regional,2.19
15300,Moree Plains,2.26
15350,Mosman,1.47
15520,Murray River,2.07
15560,Murrumbidgee,2.26
15650,Muswellbrook,2.07
15700,Nambucca Valley,2.38
15750,Narrabri,2.49
15800,Narrandera,2.87
15850,Narromine,2.44
15900,Newcastle,1.51
15950,North Sydney,1.32
15990,Northern Beaches,1.74
16100,Oberon,2.14
16150,Orange,2.13
16200,Parkes,2.35
16260,Parramatta,1.42
16350,Penrith,2.00
16380,Port Macquarie-Hastings,1.91
16400,Port Stephens,1.90
16490,Queanbeyan-Palerang Regional,1.94
16550,Randwick,1.37
16610,Richmond Valley,2.27
16700,Ryde,1.30
16900,Shellharbour,1.90
16950,Shoalhaven,2.15
17000,Singleton,2.10
17040,Snowy Monaro Regional,1.58
17080,Snowy Valleys,2.21
17100,Strathfield,1.27
17150,Sutherland Shire,1.80
17200,Sydney,0.89
17310,Tamworth Regional,2.06
17350,Temora,2.28
17400,Tenterfield,2.20
17420,The Hills Shire,1.54
17550,Tweed,1.91
17620,Upper Hunter Shire,1.88
17640,Upper Lachlan Shire,2.15
17650,Uralla,2.01
17750,Wagga Wagga,2.00
17850,Walcha,2.28
17900,Walgett,2.59
17950,Warren,2.98
18020,Warrumbungle Shire,2.28
18050,Waverley,1.40
18100,Weddin,1.93
18200,Wentworth,2.08
18250,Willoughby,1.28
18350,Wingecarribee,1.97
18400,Wollondilly,2.16
18450,Wollongong,1.75
18500,Woollahra,1.38
18710,Yass Valley,1.86
19399,Unincorporated NSW,0.00
19999,Unknown NSW,..
20110,Alpine,1.58
20260,Ararat,1.84
20570,Ballarat,1.70
20660,Banyule,1.55
20740,Bass Coast,1.70
20830,Baw Baw,1.92
20910,Bayside (Vic.),1.54
21010,Benalla,1.86
21110,Boroondara,1.15
21180,Brimbank,1.60
21270,Buloke,2.43
21370,Campaspe,1.93
21450,Cardinia,1.90
21610,Casey,1.87
21670,Central Goldfields,1.76
21750,Colac Otway,1.73
21830,Corangamite,1.86
21890,Darebin,1.27
22110,East Gippsland,1.84
22170,Frankston,1.72
22250,Gannawarra,2.04
22310,Glen Eira,1.38
22410,Glenelg,1.92
22490,Golden Plains,2.12
22620,Greater Bendigo,1.75
22670,Greater Dandenong,1.63
22750,Greater Geelong,1.65
22830,Greater Shepparton,1.88
22910,Hepburn,1.77
22980,Hindmarsh,1.92
23110,Hobsons Bay,1.70
23190,Horsham,1.83
23270,Hume,1.85
23350,Indigo,1.95
23430,Kingston (Vic.),1.55
23670,Knox,1.46
23810,Latrobe (Vic.),1.75
23940,Loddon,1.90
24130,Macedon Ranges,1.84
24210,Manningham,1.27
24250,Mansfield,1.43
24330,Maribyrnong,1.36
24410,Maroondah,1.59
24600,Melbourne,0.66
24650,Melton,1.89
24780,Mildura,1.82
24850,Mitchell,1.93
24900,Moira,1.94
24970,Monash,1.14
25060,Moonee Valley,1.35
25150,Moorabool,1.78
25250,Moreland,1.35
25340,Mornington Peninsula,1.75
25430,Mount Alexander,1.70
25490,Moyne,2.09
25620,Murrindindi,1.76
25710,Nillumbik,1.68
25810,Northern Grampians,1.81
25900,Port Phillip,1.02
25990,Pyrenees,1.89
26080,Queenscliffe,0.00
26170,South Gippsland,1.80
26260,Southern Grampians,2.04
26350,Stonnington,0.97
26430,Strathbogie,1.97
26490,Surf Coast,1.79
26610,Swan Hill,1.99
26670,Towong,1.87
26700,Wangaratta,1.85
26730,Warrnambool,1.61
26810,Wellington,1.89
26890,West Wimmera,2.65
26980,Whitehorse,1.19
27070,Whittlesea,1.70
27170,Wodonga,1.89
27260,Wyndham,1.88
27350,Yarra,0.98
27450,Yarra Ranges,1.79
27630,Yarriambiack,2.06
29399,Unincorporated Vic,..
29999,Unknown Vic,..
30250,Aurukun,2.10
30300,Balonne,2.30
30370,Banana,2.03
30410,Barcaldine,1.75
30450,Barcoo,..
30760,Blackall Tambo,2.11
30900,Boulia,0.00
31000,Brisbane,1.40
31750,Bulloo,0.00
31820,Bundaberg,1.80
31900,Burdekin,2.05
31950,Burke,..
32080,Cairns,1.85
32250,Carpentaria,2.96
32260,Cassowary Coast,2.22
32270,Central Highlands (Qld),2.11
32310,Charters Towers,1.86
32330,Cherbourg,2.98
32450,Cloncurry,1.76
32500,Cook,2.12
32600,Croydon,..
32750,Diamantina,..
32770,Doomadgee,1.94
32810,Douglas,1.57
33100,Etheridge,0.00
33200,Flinders (Qld),0.00
33220,Fraser Coast,1.96
33360,Gladstone,2.08
33430,Gold Coast,1.58
33610,Goondiwindi,2.39
33620,Gympie,2.07
33800,Hinchinbrook,1.96
33830,Hope Vale,0.00
33960,Ipswich,2.11
33980,Isaac,1.79
34420,Kowanyama,1.19
34530,Livingstone,2.03
34570,Lockhart River,0.00
34580,Lockyer Valley,1.79
34590,Logan,2.13
34710,Longreach,1.62
34770,Mackay,2.02
34800,McKinlay,0.00
34830,Mapoon,0.00
34860,Maranoa,2.44
34880,Mareeba,2.23
35010,Moreton Bay,1.87
35250,Mornington,2.60
35300,Mount Isa,2.38
35600,Murweh,2.18
35670,Napranum,2.16
35740,Noosa,1.53
35760,North Burnett,2.02
35780,Northern Peninsula Area,2.33
35790,Palm Island,2.13
35800,Paroo,3.42
36070,Pormpuraaw,0.00
36150,Quilpie,0.00
36250,Redland,1.85
36300,Richmond,0.00
36370,Rockhampton,1.99
36510,Scenic Rim,1.94
36580,Somerset,2.02
36630,South Burnett,2.32
36660,Southern Downs,2.18
36720,Sunshine Coast,1.68
36820,Tablelands,1.91
36910,Toowoomba,1.95
36950,Torres,2.06
36960,Torres Strait Island,2.43
37010,Townsville,1.77
37300,Weipa,2.19
37310,Western Downs,2.24
37340,Whitsunday,1.57
37400,Winton,0.00
37550,Woorabinda,1.81
37570,Wujal Wujal,..
37600,Yarrabah,2.09
39999,Unknown Qld,..
40070,Adelaide,0.70
40120,Adelaide Hills,1.77
40150,Adelaide Plains,1.91
40220,Alexandrina,1.75
40250,Anangu Pitjantjatjara Yunkunytjatjara,1.36
40310,Barossa,1.71
40430,Barunga West,2.82
40520,Berri Barmera,1.53
40700,Burnside,1.18
40910,Campbelltown (SA),1.40
